sku;Price 1_net_price;RRP_net_price;stock;image 1;image 2;image 3;image 4;image 5;image 6;image 7;image 8;image 9;Model;Year Manufactur;Case size specific;Brand;Case thickness;Barcode;Item Location;Dispatch Days;Title DE;Description DE;Brand Description DE;Series;Os;Storage;Connectivity;Compatibility;Altimeter;Atomic radio;Compass;Heart rate monitor;Pedometer;Lunar fases;Time zones;Indicator tide;Load indicator;Light;Booster;Alarm;Tachometer;Termometer;EAN Code;UPC Code;Category;Water Resistance;Gender DE;Style DE;Movement DE;Powered by DE;Movement manufacturer DE;Movement engine DE;Age group DE;Calendar type DE;Chronograph DE;Case shape DE;Case material DE;Case colour DE;Case finish DE;Display Type DE;Glass type DE;Dial colour DE;Dial shape DE;Band material DE;Band colour DE;Band clasp type DE;Currency
MK2280;72.21;204.10;12;https://mediagallery.kiums.com/images/mk2280-01.jpg;https://mediagallery.kiums.com/images/mk2280-02.jpg;https://mediagallery.kiums.com/images/mk2280-03.jpg;https://mediagallery.kiums.com/images/mk2280-04.jpg;https://mediagallery.kiums.com/images/mk2280-05.jpg;https://mediagallery.kiums.com/images/mk2280-06.jpg;https://mediagallery.kiums.com/images/mk-box.jpg;;;Parker;2010-Now;39 mm;Michael Kors;12 mm;EAN;IT;1;Michael Kors Parker MK2280 Quarz Damen Armbanduhr;Armbanduhr Michael Kors Parker MK2280 für Damen, uhrengehäuse aus Edelstahl mit einem durchmesser von 39 mm, Glastyp Mineral, Ziffernblatt Gold und uhrenarmband aus Echtes Leder in der farbe Blau;Luxus, Glamour, Trend, Faschion. Der preisgekrönte amerikanische Designer Michael Kors definiert die Parameter der Stiluhrmacherei und kreiert außergewöhnliche Damenkollektionen. Michael Kors kann alle die Geschmäcke befriedigen, dank eines besonderen Kennzeiches: den Stil. Jede Produkt von Michael Kors garantiert eine autentische Persönlichkeit, um jeden Charakter hervorzuheben. Die Moden den Uhren ist das Markenzeichen von Michael Kors.;Parker;;;;;;;;;;;;;;;;;;;4051432783579;;Wristwatch;50 m (5 ATM);Damen;Casual;Quarz;Batterie;Japanisch;;Erwachsene;Datum;Chronograph;Rund;Edelstahl;Gold;Glanz;Analogue;Mineral Crystal;Gold;Rund;Echtes Leder;Blau;Zwei Stück Gurt;EUR
MK3131;72.21;204.10;19;https://mediagallery.kiums.com/images/mk3131-01.jpg;https://mediagallery.kiums.com/images/mk3131-02.jpg;https://mediagallery.kiums.com/images/mk3131-03.jpg;https://mediagallery.kiums.com/images/mk3131-04.jpg;https://mediagallery.kiums.com/images/mk3131-05.jpg;https://mediagallery.kiums.com/images/mk3131-06.jpg;https://mediagallery.kiums.com/images/mk-box.jpg;;;Runway;2010-Now;38 mm;Michael Kors;14 mm;EAN;IT;1;Michael Kors Runway Twist MK3131 Quarz Damen Armbanduhr;Armbanduhr Michael Kors Runway Twist MK3131 für Damen, uhrengehäuse aus Edelstahl mit einem durchmesser von 38 mm, Glastyp Mineral, Ziffernblatt Beige und uhrenarmband aus Edelstahl in der farbe Gold;Luxus, Glamour, Trend, Faschion. Der preisgekrönte amerikanische Designer Michael Kors definiert die Parameter der Stiluhrmacherei und kreiert außergewöhnliche Damenkollektionen. Michael Kors kann alle die Geschmäcke befriedigen, dank eines besonderen Kennzeiches: den Stil. Jede Produkt von Michael Kors garantiert eine autentische Persönlichkeit, um jeden Charakter hervorzuheben. Die Moden den Uhren ist das Markenzeichen von Michael Kors.;Runway Twist;;;;;;;;;;;;;;;;;;;4048803683293;;Wristwatch;50 m (5 ATM);Damen;Casual;Quarz;Batterie;Japanisch;;Erwachsene;Datum;Chronograph;Rund;Edelstahl;Gold;Glanz;Analogue;Mineral Crystal;Beige;Rund;Edelstahl;Gold;Armband Link Bang;EUR
MK5076;66.41;187.70;20;https://mediagallery.kiums.com/images/mk5076-01.jpg;https://mediagallery.kiums.com/images/mk5076-02.jpg;https://mediagallery.kiums.com/images/mk5076-03.jpg;https://mediagallery.kiums.com/images/mk5076-04.jpg;https://mediagallery.kiums.com/images/mk5076-05.jpeg;https://mediagallery.kiums.com/images/mk5076-06.jpg;https://mediagallery.kiums.com/images/mk-box.jpg;;;Runway;2010-Now;38 mm;Michael Kors;13 mm;EAN;IT;1;Michael Kors Runway MK5076 Quarz Unisex Armbanduhr;Armbanduhr Michael Kors Runway MK5076 für Unisex, uhrengehäuse aus Edelstahl mit einem durchmesser von 38 mm, Glastyp Mineral, Ziffernblatt Silber und uhrenarmband aus Edelstahl in der farbe Silber;Luxus, Glamour, Trend, Faschion. Der preisgekrönte amerikanische Designer Michael Kors definiert die Parameter der Stiluhrmacherei und kreiert außergewöhnliche Damenkollektionen. Michael Kors kann alle die Geschmäcke befriedigen, dank eines besonderen Kennzeiches: den Stil. Jede Produkt von Michael Kors garantiert eine autentische Persönlichkeit, um jeden Charakter hervorzuheben. Die Moden den Uhren ist das Markenzeichen von Michael Kors.;Runway;;;;;;;;;;;;;;;;;;;4048803041796;691464204662;Wristwatch;100 m (10 ATM);Unisex Adult;Casual;Quarz;Batterie;Japanisch;;Erwachsene;Datum;Chronograph;Rund;Edelstahl;Silber;Glanz;Analogue;Mineral Crystal;Silber;Rund;Edelstahl;Silber;Armband Link Bang;EUR
AR0385;104.11;294.26;0;https://mediagallery.kiums.com/images/ar0385-01.jpg;https://mediagallery.kiums.com/images/ar0385-02.jpg;https://mediagallery.kiums.com/images/ar0385-03.jpg;https://mediagallery.kiums.com/images/ar0385-04.jpg;https://mediagallery.kiums.com/images/ar0385-05.jpg;https://mediagallery.kiums.com/images/ar-box.jpg;;;;Gianni XLarge;2010-Now;42 mm;Emporio Armani;;EAN;IT;1;Emporio Armani Gianni XLarge AR0385 Quarz Herren Armbanduhr;Armbanduhr Emporio Armani Gianni XLarge AR0385 für Herren, uhrengehäuse aus Edelstahl mit einem durchmesser von 42 mm, Glastyp Mineral, Ziffernblatt Weiß und uhrenarmband aus Echtes Leder in der farbe Schwarz;Der italienische Stil müss bei Emporio Armani vorbeigehen. Armani ist ein der Symbole der italienischen Art in der Welt und, außerdem, es ist für seine Kollektion von Emporio Armani Uhren bekannt. Die Kollektion ist für Frauen und Herren gewidmet, die den klassischen Stil lieben. Dank ihres philosophischen Konzeptes des Brands, ist Emporio Armani enie Kollektion, die ihre Semplizität in eine Stärke verwandelt, um neue Eleganz zu erschaffen. Die Uhren von Emporio Armani haben ein elegantes und schlichtes Design, die von dem Treffen von qualitativ hochwertigen Materialen geboren sind.;Gianni XLarge;;;;;;;;;;;;;;;;;;;4051432503467;;Wristwatch;50 m (5 ATM);Herren;Casual;Quarz;Batterie;Japanisch;;Erwachsene;Datum;Chronograph;Rund;Edelstahl;Silber;Glanz;Analogue;Mineral Crystal;Weiß;Rund;Echtes Leder;Schwarz;Zwei Stück Gurt;EUR
AR1400;159.21;450.00;0;https://mediagallery.kiums.com/images/ar1400-01.jpg;https://mediagallery.kiums.com/images/ar1400-02.jpg;https://mediagallery.kiums.com/images/ar1400-03.jpg;https://mediagallery.kiums.com/images/ar1400-04.jpg;https://mediagallery.kiums.com/images/ar1400-05.jpg;https://mediagallery.kiums.com/images/ar1400-06.jpg;https://mediagallery.kiums.com/images/ar-box.jpg;;;Ceramica;2010-Now;42 mm;Emporio Armani;;EAN;IT;1;Emporio Armani Ceramica AR1400 Quarz Herren Armbanduhr;Armbanduhr Emporio Armani Ceramica AR1400 für Herren, uhrengehäuse aus Keramik mit einem durchmesser von 42 mm, Glastyp Mineral, Ziffernblatt Schwarz und uhrenarmband aus Keramik in der farbe Schwarz;Der italienische Stil müss bei Emporio Armani vorbeigehen. Armani ist ein der Symbole der italienischen Art in der Welt und, außerdem, es ist für seine Kollektion von Emporio Armani Uhren bekannt. Die Kollektion ist für Frauen und Herren gewidmet, die den klassischen Stil lieben. Dank ihres philosophischen Konzeptes des Brands, ist Emporio Armani enie Kollektion, die ihre Semplizität in eine Stärke verwandelt, um neue Eleganz zu erschaffen. Die Uhren von Emporio Armani haben ein elegantes und schlichtes Design, die von dem Treffen von qualitativ hochwertigen Materialen geboren sind.;Ceramica;;;;;;;;;;;;;;;;;;;4048803672501;;Wristwatch;30 m (3 ATM);Herren;Casual;Quarz;Batterie;Japanisch;;Erwachsene;Datum;Chronograph;Rund;Keramik;Schwarz;Glanz;Analogue;Mineral Crystal;Schwarz;Rund;Keramik;Schwarz;Armband Link Bang;EUR
DZ4282;90.65;212.30;5;https://mediagallery.kiums.com/images/dz4282-01.jpg;https://mediagallery.kiums.com/images/dz4282-02.jpg;https://mediagallery.kiums.com/images/dz4282-03.jpg;https://mediagallery.kiums.com/images/dz4282-04.jpg;https://mediagallery.kiums.com/images/dz4282-05.jpg;https://mediagallery.kiums.com/images/dz4282-06.jpg;https://mediagallery.kiums.com/images/dz4282-07.jpg;https://mediagallery.kiums.com/images/dz-box.jpg;;Mega Chief;2010-Now;52 mm;Diesel;;EAN;IT;1;Diesel Mega Chief DZ4282 Quarz Herren Armbanduhr;Armbanduhr Diesel Mega Chief DZ4282 für Herren, uhrengehäuse aus Edelstahl mit einem durchmesser von 52 mm, Glastyp Mineral, Ziffernblatt Grau und uhrenarmband aus Edelstahl in der farbe Grau;Stark, entschlossen, arrogant. Diesel-Uhr ist dauerhaft im Laufe der Zeit. Die Diesel-Philosophie ist im Laufe der Zeit unverändert geblieben: Renzo Rosso hatte sich eine Marke vorgestellt, die Synonym für Leidenschaft, Individualität und Selbstdarstellung ist. Ein Blick auf der Welt mit einer breiten Perspektive. Geometrische, quadrate, verführende und einnehmende Formen, die wissen, wie sie sich zu erkennen geben.;Mega Chief;;;;;;;;;;;;;;;;;;;4051432896743;698615086566;Wristwatch;100 m (10 ATM);Herren;Casual;Quarz;Batterie;Japanisch;;Erwachsene;Datum;Chronograph;Rund;Edelstahl;Schwarz;Poliert;Analogue;Mineral Crystal;Grau;Rund;Edelstahl;Grau;Armband Link Bang;EUR
HB1512446;139.65;327.05;0;https://mediagallery.kiums.com/images/hb1512446-01.jpg;https://mediagallery.kiums.com/images/hb1512446-02.jpg;https://mediagallery.kiums.com/images/hb1512446-03.jpg;https://mediagallery.kiums.com/images/hb1512446-04.jpg;https://mediagallery.kiums.com/images/hb-box.jpg;;;;;HB1512446;2010-Now;44 mm;HUGO BOSS;;UPC;IT;1;Hugo Boss Classic HB1512446 Quarz Herren Armbanduhr;Armbanduhr Hugo Boss Classic HB1512446 für Herren, uhrengehäuse aus Edelstahl mit einem durchmesser von 44 mm, Glastyp Mineral, Ziffernblatt Schwarz und uhrenarmband aus Edelstahl in der farbe Silber;Hugo Boss ist das Brand für die moderne Herren. Und so sind seine Uhren. Dank seines tadellosen Designs, passen diese Uhren sehr gut mit jeden Outfit. Hugo Boss bietet einen einzigartigen, starken und entscheidenden Stil an, das mit der modernsten Technologie verbunden ist. Hugo Boss ist hohe Qualität und Präzision des Maschinenbaus.;Classic;;;;;;;;;;;;;;;;;;;7612718401050;7612718401050;Wristwatch;50 m (5 ATM);Herren;Casual;Quarz;Batterie;Japanisch;;Erwachsene;Datum;Chronograph;Rund;Edelstahl;Silber;Glanz;Analogue;Mineral Crystal;Schwarz;Rund;Edelstahl;Silber;Armband Link Bang;EUR
W0040G5;73.63;163.11;0;https://mediagallery.kiums.com/images/w0040g5-01.jpg;https://mediagallery.kiums.com/images/w0040g5-02.jpg;https://mediagallery.kiums.com/images/w0040g5-03.jpg;https://mediagallery.kiums.com/images/w0040g5-04.jpg;https://mediagallery.kiums.com/images/w0040g5-05.jpg;https://mediagallery.kiums.com/images/w-box.jpg;;;;Rigor;2010-Now;45 mm;GUESS;13 mm;EAN;IT;1;Guess Rigor W0040G5 Quarz Herren Armbanduhr;Armbanduhr Guess Rigor W0040G5 für Herren, uhrengehäuse aus Edelstahl mit einem durchmesser von 45mm, Glastyp  , Ziffernblatt Schwarz und uhrenarmband aus Echtes Leder in der farbe Schwarz;Das Label Guess zählt zu den absoluten Trendsettern der Branche – und ist deshalb eines der meistbeachteten Modeunternehmen unserer Tage. Während sich die Herrenuhren des Hause;Rigor;;;;;;;;;;;;;;;;;;;7427506627624;;Wristwatch;100 m (10 ATM);Herren;Casual;Quarz;;;;Erwachsene;Datum;;Rund;Edelstahl;Bronze;Glanz;Analogue;;Schwarz;;Echtes Leder;Schwarz;Zwei Stück Gurt;EUR
MBM1266;73.63;163.11;5;https://mediagallery.kiums.com/images/mbm1266-01.jpg;https://mediagallery.kiums.com/images/mbm1266-02.jpg;https://mediagallery.kiums.com/images/mbm1266-03.jpg;https://mediagallery.kiums.com/images/mbm1266-04.jpg;https://mediagallery.kiums.com/images/mbm1266-05.jpg;https://mediagallery.kiums.com/images/mbm1266-06.jpg;https://mediagallery.kiums.com/images/mbm1266-07.jpg;https://mediagallery.kiums.com/images/mbm-box.jpeg;;Baker;2010-Now;36 mm;Marc Jacobs;9 mm;EAN;IT;1;Marc Jacobs Baker MBM1266 Quarz Damen Armbanduhr;Armbanduhr Marc Jacobs Baker MBM1266 für Damen, uhrengehäuse aus Edelstahl mit einem durchmesser von 36 mm, Glastyp Mineral, Ziffernblatt Grau und uhrenarmband aus Echtes Leder in der farbe Grau;Marc Jacobs ist in wenigen Jahren zur perfekten Synthese von Accessoire-Design geworden, dank seinen Uhren, die eines Tages am Handgelenk des preisgekrönten Filmstars auf dem Red Carper sind, dagegen finden Sie sie am nächsten Tag an den Handgelenken der Mädchen auf den Straßen von Mailand sehen. Die Marc Jacobs-Uhren haben verschiedene Looks: sie verbinden die Eleganz des Kalbslederarmbandes mit dem Glamur des Brillantes und auch mit den buschigen Linien des Punk-Stils.;Baker;;;;;;;;;;;;;;;;;;;4053858013728;;Wristwatch;50 m (5 ATM);Damen;Casual;Quarz;Batterie;Japanisch;;Erwachsene;;;Rund;Edelstahl;Rose Gold;Glanz;Analogue;Mineral Crystal;Grau;Rund;Echtes Leder;Grau;Zwei Stück Gurt;EUR
233XLTTM;62.01;130.33;8;https://mediagallery.kiums.com/images/233xlttm-01.jpg;https://mediagallery.kiums.com/images/233xlttm-02.jpg;https://mediagallery.kiums.com/images/233xlttm-03.jpg;https://mediagallery.kiums.com/images/233xlttm-04.jpg;https://mediagallery.kiums.com/images/233xlttm-05.jpg;https://mediagallery.kiums.com/images/233xlttm-07.jpg;https://mediagallery.kiums.com/images/sk-box.jpg;;;Slimline;2010-Now;37 mm;Skagen;;EAN;IT;1;Skagen Slimline 233XLTTM Quarz Herren Armbanduhr;Armbanduhr Skagen Slimline 233XLTTM für Herren, uhrengehäuse aus Edelstahl mit einem durchmesser von 37 mm, Glastyp Mineral, Ziffernblatt Schwarz und uhrenarmband aus Edelstahl in der farbe Grau;Skage ist inspiriert von der Seestadt an der dänischen Nordküste und behält den minimalistischen Charme der nördlichen Meere. Immer auf der Suche nach seine skandinavische Wurzeln, Skagen schafft seine Uhren mit einer Verbindung mit der dänische Vergangenheit, die einfache Linien habe, die sauber wie das Meer und mit einem Geschmack von Freiheit sind. Die Einfachheit einer Skagen-Uhr bedeutet nicht nur Schönheit, sondern auch Vielseitigkeit und Funktionalität. Diese fantastische Uhren vereinfachen Ihre Lebe mit einem sauberen Zifferblatt, um einfach die Zeituhr zu sehen und mit einem ultra-dünnes Design, das sehr praktisch bei jeder Gelegenheit ist.;Slimline;;;;;;;;;;;;;;;;;;;4048803731833;768680063301;Wristwatch;30 m (3 ATM);Herren;Casual;Quarz;Batterie;Japanisch;Miyota;Erwachsene;Datum;;Rund;Edelstahl;Grau;Glanz;Analogue;Mineral Crystal;Schwarz;Rund;Edelstahl;Grau;Armband Link Bang;EUR
