sku;Price 1_net_price;RRP_net_price;stock;image 1;image 2;image 3;image 4;image 5;image 6;image 7;image 8;image 9;Model;Year Manufactur;Case size specific;Brand;Case thickness;Barcode;Item Location;Dispatch Days;Title IT;Description IT;Brand Description IT;Series;Os;Storage;Connectivity;Compatibility;Altimeter;Atomic radio;Compass;Heart rate monitor;Pedometer;Lunar fases;Time zones;Indicator tide;Load indicator;Light;Booster;Alarm;Tachometer;Termometer;EAN Code;UPC Code;Category;Water Resistance;Gender IT;Style IT;Movement IT;Powered by IT;Movement manufacturer IT;Movement engine IT;Age group IT;Calendar type IT;Chronograph IT;Case shape IT;Case material IT;Case colour IT;Case finish IT;Display Type IT;Glass type IT;Dial colour IT;Dial shape IT;Band material IT;Band colour IT;Band clasp type IT;Currency
MK2280;72.21;204.10;2;https://mediagallery.kiums.com/images/mk2280-01.jpg;https://mediagallery.kiums.com/images/mk2280-02.jpg;https://mediagallery.kiums.com/images/mk2280-03.jpg;https://mediagallery.kiums.com/images/mk2280-04.jpg;https://mediagallery.kiums.com/images/mk2280-05.jpg;https://mediagallery.kiums.com/images/mk2280-06.jpg;https://mediagallery.kiums.com/images/mk-box.jpg;;;Parker;2010-Now;39 mm;Michael Kors;12 mm;EAN;IT;1;Michael Kors Parker MK2280 Orologio Donna al Quarzo;Orologio Donna Michael Kors MK2280 modello Parker, Cassa in Acciaio Inossidabile di Diametro 39 mm, quadrante Oro, vetro Minerale e cinturino in Vera Pelle di colore Blu;Tra lusso e glamour, gli orologi Michael Kors hanno uno stile inconfondibile che si riconosce tra la folla. Lo stilista americano si è imposto subito nel settore degli orologi grazie a dei segnatempo che non passano inosservati e che sono diventati delle vere icone di stile, come il Michael Kors Darci con la sua semplice eleganza e il Michael Kors Parker, ormai un classico tra gli orologi femminili. Anche la linea uomo porta con sé il fascino degli orologi Michael Kors: ogni pezzo garantisce una personalità spiccata per potersi differenziare in ogni occasione e per far risaltare il proprio carattere. Il glamour del brand si allarga anche agli smartwatch Michael Kors che coniugano moda e funzionalità in un unico pezzo che ben completa il proprio outfit.;Parker;;;;;;;;;;;;;;;;;;;4051432783579;;Wristwatch;50 m (5 ATM);Donna;Casual;Quarzo;Batteria;Giapponese;;Adulto;Data;Cronografo;Circolare;Acciaio Inossidabile;Oro;Lucido;Analogico;Minerale;Oro;Circolare;Vera Pelle;Blu;Cinturino doppio;EUR
MK3131;72.21;204.10;26;https://mediagallery.kiums.com/images/mk3131-01.jpg;https://mediagallery.kiums.com/images/mk3131-02.jpg;https://mediagallery.kiums.com/images/mk3131-03.jpg;https://mediagallery.kiums.com/images/mk3131-04.jpg;https://mediagallery.kiums.com/images/mk3131-05.jpg;https://mediagallery.kiums.com/images/mk3131-06.jpg;https://mediagallery.kiums.com/images/mk-box.jpg;;;Runway;2010-Now;38 mm;Michael Kors;14 mm;EAN;IT;1;Michael Kors Runway Twist MK3131 Orologio Donna al Quarzo;Orologio Donna Michael Kors MK3131 modello Runway Twist, Cassa in Acciaio Inossidabile di Diametro 38 mm, quadrante Beige, vetro Minerale e cinturino in Acciaio di colore Oro;Tra lusso e glamour, gli orologi Michael Kors hanno uno stile inconfondibile che si riconosce tra la folla. Lo stilista americano si è imposto subito nel settore degli orologi grazie a dei segnatempo che non passano inosservati e che sono diventati delle vere icone di stile, come il Michael Kors Darci con la sua semplice eleganza e il Michael Kors Parker, ormai un classico tra gli orologi femminili. Anche la linea uomo porta con sé il fascino degli orologi Michael Kors: ogni pezzo garantisce una personalità spiccata per potersi differenziare in ogni occasione e per far risaltare il proprio carattere. Il glamour del brand si allarga anche agli smartwatch Michael Kors che coniugano moda e funzionalità in un unico pezzo che ben completa il proprio outfit.;Runway Twist;;;;;;;;;;;;;;;;;;;4048803683293;;Wristwatch;50 m (5 ATM);Donna;Casual;Quarzo;Batteria;Giapponese;;Adulto;Data;Cronografo;Circolare;Acciaio Inossidabile;Oro;Lucido;Analogico;Minerale;Beige;Circolare;Acciaio;Oro;Bracciale chiusura a scatto;EUR
MK5076;66.41;187.70;10;https://mediagallery.kiums.com/images/mk5076-01.jpg;https://mediagallery.kiums.com/images/mk5076-02.jpg;https://mediagallery.kiums.com/images/mk5076-03.jpg;https://mediagallery.kiums.com/images/mk5076-04.jpg;https://mediagallery.kiums.com/images/mk5076-05.jpeg;https://mediagallery.kiums.com/images/mk5076-06.jpg;https://mediagallery.kiums.com/images/mk-box.jpg;;;Runway;2010-Now;38 mm;Michael Kors;13 mm;EAN;IT;1;Michael Kors Runway MK5076 Orologio Unisex al Quarzo;Orologio Unisex Michael Kors MK5076 modello Runway, Cassa in Acciaio Inossidabile di Diametro 38 mm, quadrante Argento, vetro Minerale e cinturino in Acciaio di colore Argento;Tra lusso e glamour, gli orologi Michael Kors hanno uno stile inconfondibile che si riconosce tra la folla. Lo stilista americano si è imposto subito nel settore degli orologi grazie a dei segnatempo che non passano inosservati e che sono diventati delle vere icone di stile, come il Michael Kors Darci con la sua semplice eleganza e il Michael Kors Parker, ormai un classico tra gli orologi femminili. Anche la linea uomo porta con sé il fascino degli orologi Michael Kors: ogni pezzo garantisce una personalità spiccata per potersi differenziare in ogni occasione e per far risaltare il proprio carattere. Il glamour del brand si allarga anche agli smartwatch Michael Kors che coniugano moda e funzionalità in un unico pezzo che ben completa il proprio outfit.;Runway;;;;;;;;;;;;;;;;;;;4048803041796;691464204662;Wristwatch;100 m (10 ATM);Unisex Adult;Casual;Quarzo;Batteria;Giapponese;;Adulto;Data;Cronografo;Circolare;Acciaio Inossidabile;Argento;Lucido;Analogico;Minerale;Argento;Circolare;Acciaio;Argento;Bracciale chiusura a scatto;EUR
AR0385;104.11;294.26;0;https://mediagallery.kiums.com/images/ar0385-01.jpg;https://mediagallery.kiums.com/images/ar0385-02.jpg;https://mediagallery.kiums.com/images/ar0385-03.jpg;https://mediagallery.kiums.com/images/ar0385-04.jpg;https://mediagallery.kiums.com/images/ar0385-05.jpg;https://mediagallery.kiums.com/images/ar-box.jpg;;;;Gianni XLarge;2010-Now;42 mm;Emporio Armani;;EAN;IT;1;Emporio Armani Gianni XLarge AR0385 Orologio Uomo al Quarzo;Orologio Uomo Emporio Armani AR0385 modello Gianni XLarge, Cassa in Acciaio Inossidabile di Diametro 42 mm, quadrante Bianco, vetro Minerale e cinturino in Vera Pelle di colore Nero;Diventato uno dei simboli dell'italianità nel mondo, Armani si è fatto conoscere anche grazie alla sua collezione di orologi Emporio Armani dedicata a uomini e donne che amano le linee classiche ma innovative. Emporio Armani orologi è una collezione che, in linea con la filosofia del brand, fa della semplicità il suo punto di forza per creare una nuova eleganza. Grazie all’alta qualità dei materiali e al design senza tempo, gli orologi maschili sono sinonimo di stile italiano, gli orologi femminili invece strizzano l’occhio alla moda mantenendo la stessa eleganza senza tempo. Gli smartwatch Emporio Armani riescono a coniugare le linee tradizionali del brand con l’innovazione della tecnologia, dotandosi di GPS, Wi-Fi e Bluetooth. Un orologio Emporio Armani è un orologio dal design pulito e raffinato, adatto ad ogni look.;Gianni XLarge;;;;;;;;;;;;;;;;;;;4051432503467;;Wristwatch;50 m (5 ATM);Uomo;Casual;Quarzo;Batteria;Giapponese;;Adulto;Data;Cronografo;Circolare;Acciaio Inossidabile;Argento;Lucido;Analogico;Minerale;Bianco;Circolare;Vera Pelle;Nero;Cinturino doppio;EUR
AR1400;159.21;450.00;0;https://mediagallery.kiums.com/images/ar1400-01.jpg;https://mediagallery.kiums.com/images/ar1400-02.jpg;https://mediagallery.kiums.com/images/ar1400-03.jpg;https://mediagallery.kiums.com/images/ar1400-04.jpg;https://mediagallery.kiums.com/images/ar1400-05.jpg;https://mediagallery.kiums.com/images/ar1400-06.jpg;https://mediagallery.kiums.com/images/ar-box.jpg;;;Ceramica;2010-Now;42 mm;Emporio Armani;;EAN;IT;1;Emporio Armani Ceramica AR1400 Orologio Uomo al Quarzo;Orologio Uomo Emporio Armani AR1400 modello Ceramica, Cassa in Ceramica di Diametro 42 mm, quadrante Nero, vetro Minerale e cinturino in Ceramica di colore Nero;Diventato uno dei simboli dell'italianità nel mondo, Armani si è fatto conoscere anche grazie alla sua collezione di orologi Emporio Armani dedicata a uomini e donne che amano le linee classiche ma innovative. Emporio Armani orologi è una collezione che, in linea con la filosofia del brand, fa della semplicità il suo punto di forza per creare una nuova eleganza. Grazie all’alta qualità dei materiali e al design senza tempo, gli orologi maschili sono sinonimo di stile italiano, gli orologi femminili invece strizzano l’occhio alla moda mantenendo la stessa eleganza senza tempo. Gli smartwatch Emporio Armani riescono a coniugare le linee tradizionali del brand con l’innovazione della tecnologia, dotandosi di GPS, Wi-Fi e Bluetooth. Un orologio Emporio Armani è un orologio dal design pulito e raffinato, adatto ad ogni look.;Ceramica;;;;;;;;;;;;;;;;;;;4048803672501;;Wristwatch;30 m (3 ATM);Uomo;Casual;Quarzo;Batteria;Giapponese;;Adulto;Data;Cronografo;Circolare;Ceramica;Nero;Lucido;Analogico;Minerale;Nero;Circolare;Ceramica;Nero;Bracciale chiusura a scatto;EUR
DZ4282;90.65;212.30;5;https://mediagallery.kiums.com/images/dz4282-01.jpg;https://mediagallery.kiums.com/images/dz4282-02.jpg;https://mediagallery.kiums.com/images/dz4282-03.jpg;https://mediagallery.kiums.com/images/dz4282-04.jpg;https://mediagallery.kiums.com/images/dz4282-05.jpg;https://mediagallery.kiums.com/images/dz4282-06.jpg;https://mediagallery.kiums.com/images/dz4282-07.jpg;https://mediagallery.kiums.com/images/dz-box.jpg;;Mega Chief;2010-Now;52 mm;Diesel;;EAN;IT;1;Diesel Mega Chief DZ4282 Orologio Uomo al Quarzo;Orologio Uomo Diesel DZ4282 modello Mega Chief, Cassa in Acciaio Inossidabile di Diametro 52 mm, quadrante Grigio, vetro Minerale e cinturino in Acciaio di colore Grigio;Forte, deciso, arrogante. Un orologio Diesel è concepito per durare nel tempo. Il marchio di Renzo Rosso non ha abbandonato il suo motto quando ha cominciato a realizzare orologi. Gli orologi Diesel incarnano la filosofia del brand, sono segnatempo fatti per osare e per farsi notare. Pezzi iconici della famiglia Diesel sono il Diesel Mega Chief, un cronografo maschile extra large con un eccezionale movimento al quarzo e un cinturino in acciaio inossidabile, la serie Diesel Timeframe, con quattro quadranti, oppure la famosa serie Diesel Daddy, cronografi maschili dal cinturino in pelle per polsi che non passeranno di certo inosservati. Forme geometriche, squadrate, seducenti e accattivanti per degli orologi dallo stile decisamente unico al mondo.;Mega Chief;;;;;;;;;;;;;;;;;;;4051432896743;698615086566;Wristwatch;100 m (10 ATM);Uomo;Casual;Quarzo;Batteria;Giapponese;;Adulto;Data;Cronografo;Circolare;Acciaio Inossidabile;Nero;Smaltato;Analogico;Minerale;Grigio;Circolare;Acciaio;Grigio;Bracciale chiusura a scatto;EUR
HB1512446;139.65;327.05;0;https://mediagallery.kiums.com/images/hb1512446-01.jpg;https://mediagallery.kiums.com/images/hb1512446-02.jpg;https://mediagallery.kiums.com/images/hb1512446-03.jpg;https://mediagallery.kiums.com/images/hb1512446-04.jpg;https://mediagallery.kiums.com/images/hb-box.jpg;;;;;HB1512446;2010-Now;44 mm;HUGO BOSS;;UPC;IT;1;Hugo Boss Classic HB1512446 Orologio Uomo al Quarzo;Orologio Uomo Hugo Boss HB1512446 modello Classic, Cassa in Acciaio Inossidabile di Diametro 44 mm, quadrante Nero, vetro Minerale e cinturino in Acciaio di colore Argento;Hugo Boss si può fregiare del titolo di brand dell'uomo moderno e i suoi orologi non ne fanno eccezione. Grazie al loro design impeccabile e senza tempo possono completare qualsiasi tipo di abbigliamento, da quello più casual fino al look più ricercato. Hugo Boss offre uno stile unico, forte e deciso e lo mette al servizio della più moderna tecnologia grazie a materiali di alta qualità e alla precisione dell'ingegneria meccanica.;Classic;;;;;;;;;;;;;;;;;;;7612718401050;7612718401050;Wristwatch;50 m (5 ATM);Uomo;Casual;Quarzo;Batteria;Giapponese;;Adulto;Data;Cronografo;Circolare;Acciaio Inossidabile;Argento;Lucido;Analogico;Minerale;Nero;Circolare;Acciaio;Argento;Bracciale chiusura a scatto;EUR
W0040G5;73.63;163.11;0;https://mediagallery.kiums.com/images/w0040g5-01.jpg;https://mediagallery.kiums.com/images/w0040g5-02.jpg;https://mediagallery.kiums.com/images/w0040g5-03.jpg;https://mediagallery.kiums.com/images/w0040g5-04.jpg;https://mediagallery.kiums.com/images/w0040g5-05.jpg;https://mediagallery.kiums.com/images/w-box.jpg;;;;Rigor;2010-Now;45 mm;GUESS;13 mm;EAN;IT;1;Guess Rigor W0040G5 Orologio Uomo al Quarzo;Orologio Uomo Guess W0040G5 modello Rigor, Cassa in Acciaio Inossidabile di Diametro 45mm, quadrante Nero, vetro   e cinturino in Vera Pelle di colore Nero;Gli Stati Uniti portano la moda nel mondo grazie a Guess. Il marchio californiano, fin dal suo debutto negli anni '80, ha cercato di creare uno stile immediatamente riconoscibile, dalle linee sensuali e glamour. Ora Guess propone delle collezioni di orologi in linea con la filosofia del brand, da sempre femminile e alla moda. Dalla California nascono così degli orologi da portare come gioielli, da abbinare a qualsiasi stile e adatti ad ogni occasione, fino ad arrivare agli smartwatch di ultima generazione.;Rigor;;;;;;;;;;;;;;;;;;;7427506627624;;Wristwatch;100 m (10 ATM);Uomo;Casual;Quarzo;;;;Adulto;Data;;Circolare;Acciaio Inossidabile;Bronzo;Lucido;Analogico;;Nero;;Vera Pelle;Nero;Cinturino doppio;EUR
MBM1266;73.63;163.11;5;https://mediagallery.kiums.com/images/mbm1266-01.jpg;https://mediagallery.kiums.com/images/mbm1266-02.jpg;https://mediagallery.kiums.com/images/mbm1266-03.jpg;https://mediagallery.kiums.com/images/mbm1266-04.jpg;https://mediagallery.kiums.com/images/mbm1266-05.jpg;https://mediagallery.kiums.com/images/mbm1266-06.jpg;https://mediagallery.kiums.com/images/mbm1266-07.jpg;https://mediagallery.kiums.com/images/mbm-box.jpeg;;Baker;2010-Now;36 mm;Marc Jacobs;9 mm;EAN;IT;1;Marc Jacobs Baker MBM1266 Orologio Donna al Quarzo;Orologio Donna Marc Jacobs MBM1266 modello Baker, Cassa in Acciaio Inossidabile di Diametro 36 mm, quadrante Grigio, vetro Minerale e cinturino in Vera Pelle di colore Grigio;Marc Jacobs è divenuto in pochi anni la sintesi perfetto del design d'accessorio d'autore, portando orologi che un giorno si vedono al polso della pluripremiata star del cinema sul red carpet, mentre il giorno il giorno dopo li ritrovi ai polsi delle ragazze per le strade di Milano. Gli orologi Marc Jacobs hanno saputo incarnare diverse tendenze e vari look, fondendo l'eleganza del cinturino in pelle di vitello al glamour del brillantino fino al punk delle linee spigolose. Ogni persona indossi un Marc Jacobs diventa unica e irripetibile, con uno stile ben definito che solo lei sa rendere eccezionale.;Baker;;;;;;;;;;;;;;;;;;;4053858013728;;Wristwatch;50 m (5 ATM);Donna;Casual;Quarzo;Batteria;Giapponese;;Adulto;;;Circolare;Acciaio Inossidabile;Oro Rosa;Lucido;Analogico;Minerale;Grigio;Circolare;Vera Pelle;Grigio;Cinturino doppio;EUR
233XLTTM;62.01;130.33;8;https://mediagallery.kiums.com/images/233xlttm-01.jpg;https://mediagallery.kiums.com/images/233xlttm-02.jpg;https://mediagallery.kiums.com/images/233xlttm-03.jpg;https://mediagallery.kiums.com/images/233xlttm-04.jpg;https://mediagallery.kiums.com/images/233xlttm-05.jpg;https://mediagallery.kiums.com/images/233xlttm-07.jpg;https://mediagallery.kiums.com/images/sk-box.jpg;;;Slimline;2010-Now;37 mm;Skagen;;EAN;IT;1;Skagen Slimline 233XLTTM Orologio Uomo al Quarzo;Orologio Uomo Skagen 233XLTTM modello Slimline, Cassa in Acciaio Inossidabile di Diametro 37 mm, quadrante Nero, vetro Minerale e cinturino in Acciaio di colore Grigio;Profondamente ispirata dall'omonima cittadina marittima incastonata nelle coste danesi del nord, Skagen conserva il fascino minimalista dei mari nordici. Alla ricerca costante delle proprie radici scandinave, Skagen crea i propri orologi sempre guardando al suo passato, fatto di linee semplici, pulite come il mare e con un gusto di libertà. La semplicità di un orologio Skagen non significa solo bellezza, ma anche versatilità e funzionalità, fatte per semplificare la vostra vita seguendo la via danese: un quadrante pulito per leggere subito l'ora, un design ultrasottile per essere pratico in qualsiasi occasione.;Slimline;;;;;;;;;;;;;;;;;;;4048803731833;768680063301;Wristwatch;30 m (3 ATM);Uomo;Casual;Quarzo;Batteria;Giapponese;Miyota;Adulto;Data;;Circolare;Acciaio Inossidabile;Grigio;Lucido;Analogico;Minerale;Nero;Circolare;Acciaio;Grigio;Bracciale chiusura a scatto;EUR
233XLTTN;62.01;130.33;11;https://mediagallery.kiums.com/images/233xlttn-01.jpg;https://mediagallery.kiums.com/images/233xlttn-02.jpg;https://mediagallery.kiums.com/images/233xlttn-03.jpg;https://mediagallery.kiums.com/images/233xlttn-04.jpg;https://mediagallery.kiums.com/images/233xlttn-05.jpg;https://mediagallery.kiums.com/images/233xlttn-06.jpg;https://mediagallery.kiums.com/images/sk-box.jpg;;;Slimline;2010-Now;37 mm;Skagen;;UPC;IT;1;Skagen Slimline 233XLTTN Orologio Uomo al Quarzo;Orologio Uomo Skagen 233XLTTN modello Slimline, Cassa in Acciaio Inossidabile di Diametro 37 mm, quadrante Blu, vetro Minerale e cinturino in Acciaio di colore Argento;Profondamente ispirata dall'omonima cittadina marittima incastonata nelle coste danesi del nord, Skagen conserva il fascino minimalista dei mari nordici. Alla ricerca costante delle proprie radici scandinave, Skagen crea i propri orologi sempre guardando al suo passato, fatto di linee semplici, pulite come il mare e con un gusto di libertà. La semplicità di un orologio Skagen non significa solo bellezza, ma anche versatilità e funzionalità, fatte per semplificare la vostra vita seguendo la via danese: un quadrante pulito per leggere subito l'ora, un design ultrasottile per essere pratico in qualsiasi occasione.;Slimline;;;;;;;;;;;;;;;;;;;;768680063318;Wristwatch;30 m (3 ATM);Uomo;Casual;Quarzo;Batteria;Giapponese;Miyota;Adulto;Data;;Circolare;Acciaio Inossidabile;Argento;Lucido;Analogico;Minerale;Blu;Circolare;Acciaio;Argento;Bracciale chiusura a scatto;EUR
